..	Determinant vs. fashion.
1.	Rap vs. lyric.
2.	Comic vs. hero.
3.	Fan vs. cart.
4.	Wire vs. clock.
5.	Pin vs. lap.
6.	Bank vs. town.
7.	Relay vs. merit.
8.	Differential vs. integral.
9.	Circuit vs. serial.
10.	Sensor vs. handle.
11.	Routine vs. biscuit.
12.	Archive vs. scene.
13.	Spin vs. gadget.
14.	Day vs. magazine.
15.	Month vs. outlet.
16.	Year vs. charge.
17.	Virtual vs. teeth.
18.	Pen vs. pencil.
19.	Offer vs. hash.
20.	Rate vs. discount.
21.	Compact vs. city.
22.	Six vs. four.
23.	Draft vs. boot.
24.	Stair vs. play.
25.	Value vs. room.
26.	Line vs. caption.
::.	Mirror vs. flag.
